event_id,latitude,longitude,acq_date,acq_time_utc,satellite,instrument,confidence,daynight,brightness,bright_t31_k,frp_mw,scan,track,version,detection_datetime,source_id,persistence_score,persistent_flag,persistence_category,previous_frp_mw,frp_change_mw,cumulative_detections,first_detection,days_since_first_detection,previous_detection,hours_since_previous_detection
FIRMS_000791,8.74104,77.59702,2026-08-19,20:32,N21,VIIRS,n,N,330.52,295.83,17.22,0.47,0.39,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0004,0.6946516669970405,True,HIGH,3.12,14.099999999999998,6,2026-08-19 00:00:00+00:00,0.0,2026-08-19 00:00:00+00:00,0.0
FIRMS_000792,8.74035,77.6012,2026-08-19,20:32,N21,VIIRS,n,N,344.45,305.11,27.52,0.47,0.39,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0004,0.6946516669970405,True,HIGH,17.22,10.3,7,2026-08-19 00:00:00+00:00,0.0,2026-08-19 00:00:00+00:00,0.0
FIRMS_000793,8.73967,77.60538,2026-08-19,20:32,N21,VIIRS,n,N,317.62,294.05,27.52,0.47,0.39,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0004,0.6946516669970405,True,HIGH,27.52,0.0,8,2026-08-19 00:00:00+00:00,0.0,2026-08-19 00:00:00+00:00,0.0
FIRMS_000794,8.73676,77.60059,2026-08-19,20:32,N21,VIIRS,n,N,314.17,295.12,3.34,0.47,0.39,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0004,0.6946516669970405,True,HIGH,27.52,-24.18,9,2026-08-19 00:00:00+00:00,0.0,2026-08-19 00:00:00+00:00,0.0
FIRMS_000141,8.73847,77.60493,2026-08-20,08:35,N20,VIIRS,n,D,351.61,295.21,5.83,0.38,0.43,2.0NRT,2026-08-20 00:00:00+00:00,SOURCE_0004,0.6946516669970405,True,HIGH,3.34,2.49,10,2026-08-19 00:00:00+00:00,1.0,2026-08-19 00:00:00+00:00,24.0
FIRMS_000142,8.73786,77.60059,2026-08-20,08:35,N20,VIIRS,n,D,352.24,298.64,15.4,0.57,0.43,2.0NRT,2026-08-20 00:00:00+00:00,SOURCE_0004,0.6946516669970405,True,HIGH,5.83,9.57,11,2026-08-19 00:00:00+00:00,1.0,2026-08-20 00:00:00+00:00,0.0
FIRMS_000143,8.74184,77.60004,2026-08-20,08:35,N20,VIIRS,n,D,340.6,294.04,15.4,0.57,0.43,2.0NRT,2026-08-20 00:00:00+00:00,SOURCE_0004,0.6946516669970405,True,HIGH,15.4,0.0,12,2026-08-19 00:00:00+00:00,1.0,2026-08-20 00:00:00+00:00,0.0
FIRMS_000796,8.74019,77.60567,2026-08-20,07:37,N21,VIIRS,n,D,330.51,281.6,8.25,0.61,0.53,2.0NRT,2026-08-20 00:00:00+00:00,SOURCE_0004,0.6946516669970405,True,HIGH,15.4,-7.15,13,2026-08-19 00:00:00+00:00,1.0,2026-08-20 00:00:00+00:00,0.0
FIRMS_000801,8.73922,77.60026,2026-08-20,07:37,N21,VIIRS,n,D,352.24,282.23,8.25,0.61,0.53,2.0NRT,2026-08-20 00:00:00+00:00,SOURCE_0004,0.6946516669970405,True,HIGH,8.25,0.0,14,2026-08-19 00:00:00+00:00,1.0,2026-08-20 00:00:00+00:00,0.0
FIRMS_000935,8.74207,77.59879,2026-08-20,20:14,N21,VIIRS,n,N,303.05,270.13,1.11,0.4,0.37,2.0NRT,2026-08-20 00:00:00+00:00,SOURCE_0004,0.6946516669970405,True,HIGH,8.25,-7.14,15,2026-08-19 00:00:00+00:00,1.0,2026-08-20 00:00:00+00:00,0.0
FIRMS_000936,8.73869,77.59828,2026-08-20,20:14,N21,VIIRS,n,N,315.6,272.63,1.11,0.4,0.37,2.0NRT,2026-08-20 00:00:00+00:00,SOURCE_0004,0.6946516669970405,True,HIGH,1.11,0.0,16,2026-08-19 00:00:00+00:00,1.0,2026-08-20 00:00:00+00:00,0.0
FIRMS_000937,8.73815,77.60192,2026-08-20,20:14,N21,VIIRS,n,N,305.13,271.98,1.11,0.4,0.37,2.0NRT,2026-08-20 00:00:00+00:00,SOURCE_0004,0.6946516669970405,True,HIGH,1.11,0.0,17,2026-08-19 00:00:00+00:00,1.0,2026-08-20 00:00:00+00:00,0.0
FIRMS_000940,8.74152,77.60243,2026-08-20,20:14,N21,VIIRS,n,N,299.08,268.76,1.11,0.4,0.37,2.0NRT,2026-08-20 00:00:00+00:00,SOURCE_0004,0.6946516669970405,True,HIGH,1.11,0.0,18,2026-08-19 00:00:00+00:00,1.0,2026-08-20 00:00:00+00:00,0.0
FIRMS_000408,8.74148,77.59866,2026-08-21,20:51,N20,VIIRS,n,N,313.01,287.05,2.36,0.48,0.48,2.0NRT,2026-08-21 00:00:00+00:00,SOURCE_0004,0.6946516669970405,True,HIGH,1.11,1.2499999999999998,19,2026-08-19 00:00:00+00:00,2.0,2026-08-20 00:00:00+00:00,24.0
FIRMS_000514,8.74051,77.59778,2026-08-22,20:32,N20,VIIRS,n,N,296.69,268.68,0.78,0.41,0.37,2.0NRT,2026-08-22 00:00:00+00:00,SOURCE_0004,0.6946516669970405,True,HIGH,2.36,-1.5799999999999998,20,2026-08-19 00:00:00+00:00,3.0,2026-08-21 00:00:00+00:00,24.0
FIRMS_001172,8.73994,77.59967,2026-08-23,08:22,N21,VIIRS,n,D,336.65,302.47,3.45,0.47,0.39,2.0NRT,2026-08-23 00:00:00+00:00,SOURCE_0004,0.6946516669970405,True,HIGH,0.78,2.67,21,2026-08-19 00:00:00+00:00,4.0,2026-08-22 00:00:00+00:00,24.0
FIRMS_000006,10.74717,78.63906,2026-08-19,08:52,N20,VIIRS,n,D,334.31,290.91,5.39,0.5,0.66,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0005,0.129241536692149,False,LOW,,,1,2026-08-19 00:00:00+00:00,0.0,,
FIRMS_000007,10.93393,78.49468,2026-08-19,08:52,N20,VIIRS,n,D,330.44,292.35,1.95,0.49,0.65,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0006,0.129241536692149,False,LOW,,,1,2026-08-19 00:00:00+00:00,0.0,,
FIRMS_000008,8.64316,77.89857,2026-08-19,08:52,N20,VIIRS,n,D,330.82,293.39,3.76,0.42,0.61,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0007,0.20566611972281934,False,LOW,,,1,2026-08-19 00:00:00+00:00,0.0,,
FIRMS_000010,8.63992,77.90443,2026-08-19,08:52,N20,VIIRS,n,D,337.42,293.8,6.22,0.42,0.61,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0007,0.20566611972281934,False,LOW,3.76,2.46,2,2026-08-19 00:00:00+00:00,0.0,2026-08-19 00:00:00+00:00,0.0
FIRMS_000011,8.63941,77.90063,2026-08-19,08:52,N20,VIIRS,n,D,339.32,294.71,6.62,0.42,0.61,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0007,0.20566611972281934,False,LOW,6.22,0.40000000000000036,3,2026-08-19 00:00:00+00:00,0.0,2026-08-19 00:00:00+00:00,0.0
FIRMS_000012,8.64364,77.90237,2026-08-19,08:52,N20,VIIRS,n,D,344.29,293.68,4.95,0.42,0.61,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0007,0.20566611972281934,False,LOW,6.62,-1.67,4,2026-08-19 00:00:00+00:00,0.0,2026-08-19 00:00:00+00:00,0.0
FIRMS_000009,9.52572,78.76215,2026-08-19,08:52,N20,VIIRS,n,D,341.98,285.98,5.93,0.49,0.65,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0008,0.129241536692149,False,LOW,,,1,2026-08-19 00:00:00+00:00,0.0,,
FIRMS_000013,21.10254,72.63605,2026-08-19,08:56,N20,VIIRS,n,D,333.38,287.38,4.28,0.54,0.51,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0009,0.2692817258878132,True,LOW,,,1,2026-08-19 00:00:00+00:00,0.0,,
FIRMS_000156,21.10136,72.63664,2026-08-20,08:37,N20,VIIRS,n,D,343.8,296.92,7.25,0.44,0.38,2.0NRT,2026-08-20 00:00:00+00:00,SOURCE_0009,0.2692817258878132,True,LOW,4.28,2.9699999999999998,2,2026-08-19 00:00:00+00:00,1.0,2026-08-19 00:00:00+00:00,24.0
FIRMS_000811,21.10167,72.6348,2026-08-20,07:41,N21,VIIRS,n,D,336.17,292.3,7.3,0.38,0.59,2.0NRT,2026-08-20 00:00:00+00:00,SOURCE_0009,0.2692817258878132,True,LOW,7.25,0.04999999999999982,3,2026-08-19 00:00:00+00:00,1.0,2026-08-20 00:00:00+00:00,0.0
FIRMS_000014,27.31678,95.26754,2026-08-19,19:42,N20,VIIRS,n,N,311.22,289.96,2.63,0.47,0.4,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0010,0.25067010812072044,True,LOW,,,1,2026-08-19 00:00:00+00:00,0.0,,
