source_id,first_detection,last_detection,total_detections,active_days,mean_frp,max_frp,observation_span_days,recurrence_rate,detections_per_span_day,mean_gap_hours,std_gap_hours,median_gap_hours,min_gap_hours,max_gap_hours,temporal_regularity,max_active_days_7d,max_active_days_14d,max_active_days_30d,observation_days
SOURCE_0062,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,2,1,2.915,3.45,0.0,0.14285714285714285,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7
SOURCE_0063,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,1,1,0.86,0.86,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0064,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,1,1,1.12,1.12,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0065,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,2,1,1.0750000000000002,1.08,0.0,0.14285714285714285,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7
SOURCE_0066,2026-08-19 00:00:00+00:00,2026-08-20 00:00:00+00:00,3,2,1.6966666666666665,3.76,1.0,0.2857142857142857,3.0,12.0,12.0,12.0,0.0,24.0,0.07692307692307693,2,2,2,7
SOURCE_0067,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,1,1,1.18,1.18,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0068,2026-08-19 00:00:00+00:00,2026-08-21 00:00:00+00:00,3,3,1.3866666666666667,1.67,2.0,0.42857142857142855,1.5,24.0,0.0,24.0,24.0,24.0,1.0,3,3,3,7
SOURCE_0069,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,2,1,1.1099999999999999,1.19,0.0,0.14285714285714285,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7
SOURCE_0070,2026-08-19 00:00:00+00:00,2026-08-24 00:00:00+00:00,20,6,2.9695,6.43,5.0,0.8571428571428571,4.0,6.315789473684211,10.56833717727253,0.0,0.0,24.0,0.08644284694300121,6,6,6,7
SOURCE_0071,2026-08-19 00:00:00+00:00,2026-08-20 00:00:00+00:00,5,2,3.1740000000000004,5.74,1.0,0.2857142857142857,5.0,6.0,10.392304845413264,0.0,0.0,24.0,0.0877785499571333,2,2,2,7
SOURCE_0072,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,2.87,2.87,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0073,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,1.71,1.71,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0074,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,3.09,3.09,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0075,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,2,1,3.9699999999999998,4.05,0.0,0.14285714285714285,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7
SOURCE_0076,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,9.86,9.86,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0077,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,3,1,9.483333333333333,13.45,0.0,0.14285714285714285,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,7
SOURCE_0078,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,1.92,1.92,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0079,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,5.12,5.12,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0080,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,4.39,4.39,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0081,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,3.58,3.58,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0082,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,4.22,4.22,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0083,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,2.5,2.5,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0084,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,2.44,2.44,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0085,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,4.74,4.74,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0086,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,6.71,6.71,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0087,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,3,1,11.486666666666666,17.21,0.0,0.14285714285714285,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,7
SOURCE_0088,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,3.01,3.01,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0089,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,5,1,6.928,12.56,0.0,0.14285714285714285,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,7
SOURCE_0090,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,5.84,5.84,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0091,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,3.36,3.36,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0092,2026-08-19 00:00:00+00:00,2026-08-23 00:00:00+00:00,9,5,1.9255555555555555,4.0,4.0,0.7142857142857143,2.25,12.0,12.0,12.0,0.0,24.0,0.07692307692307693,5,5,5,7
SOURCE_0093,2026-08-19 00:00:00+00:00,2026-08-20 00:00:00+00:00,3,2,1.2433333333333334,2.27,1.0,0.2857142857142857,3.0,12.0,12.0,12.0,0.0,24.0,0.07692307692307693,2,2,2,7
SOURCE_0094,2026-08-19 00:00:00+00:00,2026-08-20 00:00:00+00:00,4,2,2.18,4.66,1.0,0.2857142857142857,4.0,8.0,11.313708498984761,0.0,0.0,24.0,0.08121030314161228,2,2,2,7
SOURCE_0095,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,1.73,1.73,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0096,2026-08-20 00:00:00+00:00,2026-08-23 00:00:00+00:00,5,4,1.8059999999999998,2.41,3.0,0.5714285714285714,1.6666666666666667,18.0,10.392304845413264,24.0,0.0,24.0,0.0877785499571333,4,4,4,7
SOURCE_0097,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,2,1,2.29,3.56,0.0,0.14285714285714285,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7
SOURCE_0098,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,1.02,1.02,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0099,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,1.99,1.99,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0100,2026-08-20 00:00:00+00:00,2026-08-23 00:00:00+00:00,9,4,2.072222222222222,3.16,3.0,0.5714285714285714,3.0,9.0,11.61895003862225,0.0,0.0,24.0,0.07924589581061381,4,4,4,7
SOURCE_0101,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,3,1,3.0766666666666667,4.23,0.0,0.14285714285714285,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,7
SOURCE_0102,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,2,1,1.0699999999999998,1.4,0.0,0.14285714285714285,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7
SOURCE_0103,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,3,1,2.793333333333333,3.32,0.0,0.14285714285714285,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,7
SOURCE_0104,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,2,1,0.64,0.87,0.0,0.14285714285714285,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7
SOURCE_0105,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,2,1,2.345,2.87,0.0,0.14285714285714285,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7
SOURCE_0106,2026-08-19 00:00:00+00:00,2026-08-21 00:00:00+00:00,4,3,2.615,3.93,2.0,0.42857142857142855,2.0,16.0,11.313708498984761,24.0,0.0,24.0,0.08121030314161228,3,3,3,7
SOURCE_0107,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,0.31,0.31,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0108,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,3.33,3.33,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0109,2026-08-20 00:00:00+00:00,2026-08-22 00:00:00+00:00,4,3,1.0825,1.53,2.0,0.42857142857142855,2.0,16.0,11.313708498984761,24.0,0.0,24.0,0.08121030314161228,3,3,3,7
SOURCE_0110,2026-08-20 00:00:00+00:00,2026-08-22 00:00:00+00:00,11,3,2.97,8.73,2.0,0.42857142857142855,5.5,4.8,9.6,0.0,0.0,24.0,0.09433962264150944,3,3,3,7
SOURCE_0111,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,2,1,0.98,1.03,0.0,0.14285714285714285,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7
SOURCE_0112,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,2,1,0.8200000000000001,1.03,0.0,0.14285714285714285,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7
SOURCE_0113,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,2.32,2.32,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0114,2026-08-19 00:00:00+00:00,2026-08-20 00:00:00+00:00,2,2,1.305,2.03,1.0,0.2857142857142857,2.0,24.0,0.0,24.0,24.0,24.0,0.0,2,2,2,7
SOURCE_0115,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,2,1,2.9000000000000004,2.91,0.0,0.14285714285714285,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7
SOURCE_0116,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,0.27,0.27,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0117,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,1,1,1.43,1.43,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0118,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,2,1,6.605,8.66,0.0,0.14285714285714285,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7
SOURCE_0119,2026-08-20 00:00:00+00:00,2026-08-20 00:00:00+00:00,2,1,5.785,7.02,0.0,0.14285714285714285,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,7
